depth= 1 n_est= 100 score= [ 0.9127182   0.89276808  0.90523691  0.915       0.9075      0.91        0.9 0.89223058  0.90977444  0.88471178]  smean= 0.9029939984
depth= 1 n_est= 200 score= [ 0.9127182   0.90274314  0.93017456  0.915       0.905       0.9225 0.9125      0.89974937  0.9047619   0.89223058]  smean= 0.909737776486
depth= 1 n_est= 300 score= [ 0.92269327  0.90773067  0.91770574  0.9275      0.915       0.925       0.9125 0.90225564  0.90726817  0.89473684]  smean= 0.913239032744
depth= 1 n_est= 400 score= [ 0.92269327  0.90024938  0.90523691  0.9175      0.9225      0.925       0.9125 0.9122807   0.89974937  0.89724311]  smean= 0.911495273408
depth= 1 n_est= 500 score= [ 0.92518703  0.91022444  0.9201995   0.925       0.9125      0.9375      0.92 0.90726817  0.89223058  0.9047619 ]  smean= 0.91548716242
depth= 1 n_est= 600 score= [ 0.91770574  0.91521197  0.93516209  0.9175      0.9125      0.925       0.925 0.89974937  0.89724311  0.89724311]  smean= 0.914231538947
depth= 1 n_est= 700 score= [ 0.91521197  0.90274314  0.93765586  0.9125      0.9125      0.9225 0.9175      0.90726817  0.89974937  0.90726817]  smean= 0.913489668685
depth= 1 n_est= 800 score= [ 0.91770574  0.90274314  0.93266833  0.915       0.915       0.93        0.9225 0.90225564  0.90225564  0.90726817]  smean= 0.91473966556
depth= 1 n_est= 900 score= [ 0.91521197  0.90773067  0.93516209  0.915       0.915       0.9325      0.92 0.9122807   0.91729323  0.91478697]  smean= 0.918496564041
depth= 1 n_est= 1000 score= [ 0.91770574  0.90523691  0.93017456  0.9175      0.9175      0.935       0.9225 0.90726817  0.90726817  0.9122807 ]  smean= 0.917243424959
depth= 2 n_est= 100 score= [ 0.89526185  0.89276808  0.9276808   0.915       0.91        0.92        0.8925 0.90977444  0.9122807   0.89724311]  smean= 0.907250896881
depth= 2 n_est= 200 score= [ 0.89775561  0.89526185  0.9201995   0.9225      0.9175      0.94        0.9225 0.90977444  0.92982456  0.89724311]  smean= 0.915255906287
depth= 2 n_est= 300 score= [ 0.90274314  0.89775561  0.93516209  0.93        0.9175      0.9425 0.9325      0.91478697  0.9197995   0.88471178]  smean= 0.917745909349
depth= 2 n_est= 400 score= [ 0.91521197  0.89526185  0.93017456  0.9275      0.91        0.9425 0.9325      0.91729323  0.92230576  0.88972431]  smean= 0.918247168732
depth= 2 n_est= 500 score= [ 0.90274314  0.89526185  0.93266833  0.93        0.9125      0.945       0.9375 0.92230576  0.9273183   0.89974937]  smean= 0.920504675029
depth= 2 n_est= 600 score= [ 0.92269327  0.89775561  0.93516209  0.93        0.9125      0.945       0.935 0.92230576  0.9197995   0.89473684]  smean= 0.921495307783
depth= 2 n_est= 700 score= [ 0.92269327  0.90274314  0.9276808   0.9275      0.92        0.9425 0.9425      0.92481203  0.92481203  0.90225564]  smean= 0.923749690623
depth= 2 n_est= 800 score= [ 0.92269327  0.90773067  0.93266833  0.93        0.9175      0.9425 0.9375      0.92481203  0.9197995   0.89974937]  smean= 0.923495317158
depth= 2 n_est= 900 score= [ 0.9201995   0.90773067  0.93017456  0.9275      0.9175      0.9375 0.9425      0.92230576  0.91478697  0.90726817]  smean= 0.922746564041
depth= 2 n_est= 1000 score= [ 0.9276808   0.90274314  0.93266833  0.925       0.92        0.935       0.94 0.92230576  0.92982456  0.90225564]  smean= 0.923747823424
depth= 8 n_est= 100 score= [ 0.90773067  0.89276808  0.90024938  0.9075      0.9025      0.9325      0.9 0.9047619   0.91729323  0.90726817]  smean= 0.907257143795
depth= 3 n_est= 100 score= [ 0.92269327  0.90024938  0.9201995   0.9275      0.91        0.945       0.9325  0.90977444  0.92481203  0.89223058]  smean= 0.918495918724
depth= 3 n_est= 200 score= [ 0.93765586  0.9127182   0.93266833  0.9375      0.925       0.95        0.945  0.91478697  0.9273183   0.90726817]  smean= 0.92899158276
depth= 3 n_est= 300 score= [ 0.93017456  0.91521197  0.93516209  0.9475      0.9225      0.95        0.9425  0.91729323  0.92982456  0.9122807 ]  smean= 0.930244712467
depth= 3 n_est= 400 score= [ 0.9276808   0.9127182   0.93765586  0.94        0.9275      0.95        0.95  0.92230576  0.93734336  0.91478697]  smean= 0.931999095307
depth= 3 n_est= 500 score= [ 0.93266833  0.91770574  0.93017456  0.9425      0.935       0.95        0.9425  0.92230576  0.93734336  0.9197995 ]  smean= 0.932999724998
depth= 3 n_est= 600 score= [ 0.9276808   0.9201995   0.93017456  0.945       0.9325      0.9525      0.95  0.92481203  0.93483709  0.91478697]  smean= 0.933249095307
depth= 3 n_est= 700 score= [ 0.92269327  0.9201995   0.93516209  0.945       0.9375      0.9525  0.9425      0.92230576  0.93984962  0.91729323]  smean= 0.93350034844
depth= 3 n_est= 800 score= [ 0.9276808   0.91770574  0.93765586  0.9425      0.9275      0.95        0.9425  0.92481203  0.93483709  0.91729323]  smean= 0.93224847499
depth= 3 n_est= 900 score= [ 0.92518703  0.91770574  0.93765586  0.945       0.93        0.95        0.9425  0.92230576  0.93233083  0.9197995 ]  smean= 0.932248471865
depth= 3 n_est= 1000 score= [ 0.92269327  0.91770574  0.94014963  0.935       0.925       0.9575  0.9425      0.92230576  0.93233083  0.91729323]  smean= 0.931247845299
depth= 4 n_est= 100 score= [ 0.90773067  0.9127182   0.9201995   0.9375      0.925       0.95        0.9325  0.92230576  0.90977444  0.89473684]  smean= 0.921246542166
depth= 4 n_est= 200 score= [ 0.92518703  0.90773067  0.93516209  0.94        0.9275      0.965       0.9275  0.91478697  0.9197995   0.90225564]  smean= 0.926492190576
depth= 4 n_est= 300 score= [ 0.93765586  0.91521197  0.93516209  0.94        0.93        0.96        0.9325  0.92230576  0.9197995   0.90726817]  smean= 0.929990335877
depth= 4 n_est= 400 score= [ 0.93017456  0.91770574  0.94264339  0.945       0.93        0.9575  0.9325      0.92481203  0.92481203  0.9122807 ]  smean= 0.931742845268
depth= 4 n_est= 500 score= [ 0.9276808   0.9201995   0.94264339  0.94        0.93        0.9575      0.93  0.92481203  0.92230576  0.91478697]  smean= 0.930992845268
depth= 4 n_est= 600 score= [ 0.9276808   0.91770574  0.94264339  0.9425      0.9325      0.96        0.935  0.92230576  0.91729323  0.9197995 ]  smean= 0.931742842143
depth= 4 n_est= 700 score= [ 0.92518703  0.92518703  0.94264339  0.94        0.93        0.965       0.9325  0.93233083  0.91729323  0.91478697]  smean= 0.932492848393
depth= 4 n_est= 800 score= [ 0.92518703  0.92269327  0.93765586  0.935       0.93        0.965       0.9325  0.92982456  0.91478697  0.91478697]  smean= 0.930743465584
depth= 4 n_est= 900 score= [ 0.92518703  0.92518703  0.94014963  0.94        0.93        0.96        0.9325  0.92982456  0.91729323  0.91478697]  smean= 0.931492845268
depth= 4 n_est= 1000 score= [ 0.92518703  0.9201995   0.94014963  0.9375      0.9275      0.96        0.9325  0.92982456  0.92481203  0.92230576]  smean= 0.931997851549
depth= 5 n_est= 100 score= [ 0.92269327  0.90523691  0.93266833  0.935       0.9325      0.95        0.935  0.90977444  0.9197995   0.91478697]  smean= 0.9257459406
